% mention
@RELATION men

@ATTRIBUTE m_type {N, PR, NULL}
@ATTRIBUTE m1_type {N, PR, NULL}
@ATTRIBUTE gn {MASC, FEM, NULL}
@ATTRIBUTE gn1 {MASC, FEM, NULL}
@ATTRIBUTE num1 {SING, PLUR}
@ATTRIBUTE num {SING, PLUR}
@ATTRIBUTE en {PERS, LOC, ORG, FUNC, NULL}
@ATTRIBUTE en1 {PERS, LOC, ORG, FUNC, NULL}
@ATTRIBUTE gp {CASE=YES, CASE=NO}
@ATTRIBUTE gp1 {CASE=YES, CASE=NO}
@ATTRIBUTE id_form {YES, NO}
@ATTRIBUTE subform {YES, NO}
@ATTRIBUTE inc_rate REAL
@ATTRIBUTE dis_men REAL
@ATTRIBUTE dis_phrase REAL
@ATTRIBUTE dis_char REAL

@DATA
N,PR,NULL,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,32,28,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,32,29,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,36,30,0,0
N,PR,NULL,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,32,31,0,0
N,N,MASC,MASC,NULL,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,22,32,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,25,33,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,32,34,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,33,35,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,41,36,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,48,37,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,19,38,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,27,39,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,40,40,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,42,41,0,0
N,N,FEM,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,35,42,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,96,1,0,0
N,PR,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,92,2,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,92,3,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,92,4,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,92,5,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,92,6,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,96,7,0,0
N,N,NULL,MASC,PERS,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,46,8,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,38,9,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,35,10,0,0
N,N,FEM,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,32,11,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,36,12,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,40,13,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,19,14,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,33,15,0,0
N,N,FEM,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,23,16,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,42,17,0,0
N,PR,NULL,MASC,NULL,FUNC,?,SING,CASE=NO,CASE=NO,NO,NO,25,18,0,0
N,PR,NULL,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,33,19,0,0
N,N,MASC,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,33,20,0,0
N,N,MASC,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,25,21,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,42,22,0,0
N,N,FEM,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,39,23,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,39,24,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,44,25,0,0
N,PR,NULL,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,32,26,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,51,27,0,0
N,PR,NULL,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,26,28,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,26,29,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,35,30,0,0
N,PR,NULL,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,26,31,0,0
N,N,MASC,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,26,32,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,33,33,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,19,34,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,33,35,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,29,36,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,30,37,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,36,38,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,38,39,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,38,40,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,19,41,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,34,42,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,1,0,0
N,PR,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,2,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,3,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,4,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,5,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,6,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,7,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,96,8,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,26,9,0,0
N,N,MASC,MASC,FUNC,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,33,10,0,0
N,N,FEM,MASC,NULL,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,48,11,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,35,12,0,0
N,N,FEM,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,43,13,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,24,14,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,25,15,0,0
N,N,FEM,MASC,NULL,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,32,16,0,0
N,N,FEM,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,55,17,0,0
N,PR,NULL,MASC,NULL,PERS,?,PLUR,CASE=NO,CASE=NO,NO,NO,24,18,0,0
N,PR,NULL,MASC,NULL,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,36,19,0,0
N,N,MASC,MASC,NULL,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,71,20,0,0
N,N,MASC,MASC,NULL,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,29,21,0,0
N,N,FEM,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,31,22,0,0
N,N,FEM,MASC,NULL,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,25,23,0,0
N,N,FEM,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,23,24,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,33,25,0,0
N,PR,NULL,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,18,26,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,39,27,0,0
N,PR,NULL,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,18,28,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,24,29,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,28,30,0,0
N,PR,NULL,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,18,31,0,0
N,N,MASC,MASC,NULL,PERS,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,39,32,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,21,33,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,18,34,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,26,35,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,33,36,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,17,37,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,32,38,0,0
N,N,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,50,39,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,36,40,0,0
N,PR,MASC,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,18,41,0,0
N,N,FEM,MASC,NULL,PERS,SING,PLUR,CASE=NO,CASE=NO,NO,NO,38,42,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,92,1,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,92,2,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,92,3,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,92,4,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,92,5,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,83,6,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,83,7,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,83,8,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,83,9,0,0
N,N,MASC,MASC,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,42,10,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,26,11,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,12,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,22,13,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,14,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,29,15,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,27,16,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,25,17,0,0
N,PR,NULL,MASC,NULL,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,42,18,0,0
N,PR,NULL,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,27,19,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,28,20,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,32,21,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,27,22,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,16,23,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,36,24,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,36,25,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,26,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,31,27,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,28,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,22,29,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,38,30,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=YES,NO,NO,33,31,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,31,32,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,26,33,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,34,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,26,35,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,21,36,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,40,37,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,38,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,55,39,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,55,40,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,41,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,45,42,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,95,1,0,0
N,PR,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,95,2,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,90,3,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,90,4,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,90,5,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,90,6,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,90,7,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,90,8,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,90,9,0,0
N,N,MASC,MASC,FUNC,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,95,10,0,0
N,N,FEM,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,35,11,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,24,12,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,17,13,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,15,14,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,39,15,0,0
N,N,FEM,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,26,16,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,37,17,0,0
N,PR,NULL,MASC,NULL,FUNC,?,SING,CASE=NO,CASE=NO,NO,NO,7,18,0,0
N,PR,NULL,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,31,19,0,0
N,N,MASC,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,36,20,0,0
N,N,MASC,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,21,21,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,21,22,0,0
N,N,FEM,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,17,23,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,16,24,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,22,25,0,0
N,PR,NULL,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,15,26,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,29,27,0,0
N,PR,NULL,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,15,28,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,15,29,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,20,30,0,0
N,PR,NULL,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,22,31,0,0
N,N,MASC,MASC,NULL,FUNC,PLUR,SING,CASE=NO,CASE=NO,NO,NO,29,32,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,19,33,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,15,34,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,12,35,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,16,36,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,14,37,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,20,38,0,0
N,N,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,32,39,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,42,40,0,0
N,PR,MASC,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,22,41,0,0
N,N,FEM,MASC,NULL,FUNC,SING,SING,CASE=NO,CASE=NO,NO,NO,26,42,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,1,0,0
N,PR,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,2,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,3,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,4,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,5,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,6,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,7,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,8,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,9,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,84,10,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,89,11,0,0
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,41,12,0,0
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,41,13,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,16,14,0,0
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,33,15,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,34,16,0,0
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,34,17,0,0
N,PR,NULL,FEM,NULL,NULL,?,PLUR,CASE=NO,CASE=NO,NO,NO,15,18,0,0
N,PR,NULL,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,27,19,0,0
N,N,MASC,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,47,20,0,0
N,N,MASC,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,31,21,0,0
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,27,22,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,46,23,0,0
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,46,24,0,0
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,34,25,0,0
N,PR,NULL,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,24,26,0,0
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,36,27,0,0
N,PR,NULL,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,24,28,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,16,29,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,36,30,0,0
N,PR,NULL,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,24,31,0,0
N,N,MASC,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,42,32,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,27,33,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,16,34,0,0
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,27,35,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,23,36,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,15,37,0,0
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,41,38,0,0
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,39,39,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,33,40,0,0
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,16,41,0,0
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,21,42,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,1,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,2,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,3,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,4,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,5,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,6,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,90,7,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,90,8,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,90,9,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,10,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,90,11,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,93,12,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,58,13,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,17,14,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,15,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,15,16,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,17,0,0
N,PR,NULL,MASC,NULL,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,22,18,0,0
